Date,Action,Utilization,Risk Score,Sentiment Score
2024-12-20,SELL,2.82,0.6493207812309265,0.75569087266922
2024-02-16,SELL,2.83,0.8642790913581848,0.7901261448860168
2024-04-27,SELL,5.47,0.7669093608856201,0.7901261448860168
2024-10-30,SELL,8.74,0.8052949905395508,0.565018355846405
2024-10-08,SELL,4.06,0.8174573183059692,0.8567883372306824
2024-09-14,SELL,2.81,0.6770095229148865,0.75569087266922
2024-09-23,SELL,2.76,0.7902296185493469,0.5824687480926514
2024-03-02,SELL,3.69,0.4672540426254272,0.5472204089164734
2024-08-24,SELL,6.04,0.8343701362609863,0.7901261448860168
2024-01-25,SELL,4.76,0.9791551232337952,0.8424614071846008
2025-01-15,SELL,4.75,0.8810372948646545,0.565018355846405
2024-09-05,SELL,4.66,0.8217678070068359,0.8567883372306824
2024-09-08,SELL,2.21,0.7716047167778015,0.565018355846405
2024-06-27,SELL,5.61,0.8076188564300537,0.8567883372306824
2024-07-13,SELL,3.6,0.739512026309967,0.5000081062316895
2024-08-04,SELL,3.33,0.8976801037788391,0.7376754879951477
2024-07-14,SELL,4.26,0.6512031555175781,0.5472204089164734
2024-06-18,SELL,1.88,0.7113574147224426,0.7901261448860168
2024-04-07,SELL,9.89,0.4847110509872436,0.5472204089164734
2024-12-29,SELL,4.03,0.5231213569641113,0.5472204089164734
2024-12-20,SELL,1.98,0.8005663752555847,0.8567883372306824
2024-11-27,SELL,4.5,0.7397212982177734,0.7376754879951477
2024-01-29,SELL,4.4,0.910632312297821,0.8395679593086243
2025-01-18,SELL,3.0,0.5592377781867981,0.5472204089164734
2024-05-28,SELL,3.66,0.585107147693634,0.5472204089164734
2024-09-02,SELL,7.57,0.8800223469734192,0.5000081062316895
2024-12-26,SELL,6.3,0.8050073385238647,0.5000081062316895
2024-11-22,SELL,8.16,0.8376569151878357,0.8567883372306824
2024-03-19,SELL,6.88,0.8051862716674805,0.8567883372306824
2024-06-26,SELL,6.92,0.8110015988349915,0.8567883372306824
2025-01-14,SELL,2.33,0.9087673425674438,0.8424614071846008
2024-10-16,SELL,5.39,0.8560053110122681,0.5824687480926514
2024-12-10,SELL,5.14,0.882721483707428,0.565018355846405
2024-01-30,BUY,0.33,,
2024-11-16,SELL,1.13,0.5184509754180908,0.8395679593086243
2024-10-06,SELL,4.1,0.8233901858329773,0.565018355846405
2024-03-19,SELL,4.1,0.7652626633644104,0.5000081062316895
2024-10-08,SELL,5.64,0.7864657640457153,0.5824687480926514
2024-03-29,SELL,9.6,0.7486451864242554,0.7376754879951477
2024-03-08,SELL,9.63,0.9063962697982788,0.8395679593086243
2024-08-16,SELL,5.46,0.795589804649353,0.565018355846405
2024-01-20,SELL,7.84,0.7819676399230957,0.7376754879951477
2024-10-03,SELL,0.96,0.5717363357543945,0.8395679593086243
2024-03-11,SELL,8.77,0.7564406394958496,0.5000081062316895
2024-03-26,SELL,8.13,0.8339100480079651,0.7376754879951477
2024-02-28,SELL,7.95,0.7977338433265686,0.5824687480926514
2024-05-22,SELL,1.15,0.8328508734703064,0.7376754879951477
2024-11-06,SELL,1.61,0.6047649383544922,0.7901261448860168
2024-07-05,SELL,2.5,0.816493034362793,0.5000081062316895
2024-12-17,SELL,9.45,0.8161131143569946,0.5000081062316895
2024-03-29,SELL,6.47,0.9699916243553162,0.75569087266922
2024-06-18,SELL,4.28,0.7780684232711792,0.7376754879951477
2024-12-21,SELL,3.62,0.5118285417556763,0.8395679593086243
2024-04-05,SELL,9.51,0.7109653949737549,0.5472204089164734
2024-12-15,SELL,7.69,0.5555537343025208,0.5472204089164734
2024-09-16,SELL,5.01,0.9343061447143556,0.8424614071846008
2024-01-28,SELL,9.78,0.6135821342468262,0.8395679593086243
2024-06-23,SELL,3.69,0.8027769923210144,0.8567883372306824
2024-09-22,SELL,1.03,0.6082496643066406,0.75569087266922
2024-09-11,SELL,2.72,0.7973288297653198,0.565018355846405
2024-12-16,SELL,7.17,0.7710567116737366,0.8567883372306824
2024-07-06,SELL,2.31,0.7640716433525085,0.8395679593086243
2024-05-28,SELL,4.01,0.7260717749595642,0.5472204089164734
2024-04-24,SELL,4.27,0.4918736517429352,0.8395679593086243
2024-05-01,SELL,0.89,0.6407461166381836,0.8424614071846008
2024-04-18,SELL,4.28,0.6293386220932007,0.5472204089164734
2025-01-10,SELL,4.73,0.7427150011062622,0.7901261448860168
2024-05-17,SELL,9.32,0.885690450668335,0.5824687480926514
2024-07-12,SELL,8.31,0.9005498290061951,0.8424614071846008
2024-05-01,SELL,8.23,0.8437291979789734,0.75569087266922
2025-01-15,SELL,9.77,0.8425939679145813,0.7376754879951477
2024-06-27,SELL,6.52,0.8732410669326782,0.8424614071846008
2024-11-14,SELL,6.26,0.8443815112113953,0.7901261448860168
2024-11-14,SELL,6.99,0.8444697856903076,0.5824687480926514
2024-07-04,SELL,4.02,0.8594465851783752,0.7901261448860168
2024-03-15,SELL,1.38,0.7258963584899902,0.5824687480926514
2025-01-05,SELL,7.45,0.5610151886940002,0.565018355846405
2024-12-04,SELL,6.6,0.8673577308654785,0.7376754879951477
2024-04-29,SELL,8.19,0.7380185127258301,0.565018355846405
2024-04-15,SELL,3.84,0.8500487804412842,0.8567883372306824
2024-03-06,SELL,9.89,0.8602743148803711,0.7901261448860168
2025-01-07,SELL,6.25,0.9653751254081726,0.75569087266922
2024-07-24,SELL,6.16,0.8562145829200745,0.5824687480926514
2024-02-19,SELL,4.79,0.6099444627761841,0.75569087266922
2024-12-01,SELL,7.7,0.7135626673698425,0.75569087266922
2024-05-24,SELL,5.57,0.8553617596626282,0.7901261448860168
2024-08-02,SELL,1.88,0.8364251852035522,0.8395679593086243
2024-05-07,SELL,6.09,0.8792725205421448,0.8395679593086243
2024-06-24,SELL,8.58,0.7948618531227112,0.7901261448860168
2024-10-18,SELL,1.58,0.87961745262146,0.7901261448860168
2024-07-18,BUY,0.19,,
2024-11-28,SELL,5.35,0.819898784160614,0.5472204089164734
2024-08-26,SELL,7.67,0.6482897400856018,0.5472204089164734
2024-02-26,SELL,9.79,0.8426515460014343,0.7376754879951477
2024-07-30,SELL,4.96,0.661185622215271,0.75569087266922
2024-07-03,SELL,1.13,0.7629092931747437,0.5000081062316895
2024-02-04,SELL,2.65,0.8019306659698486,0.5000081062316895
2024-05-13,SELL,0.95,0.526117205619812,0.75569087266922
2024-03-08,SELL,6.97,0.7187361717224121,0.7376754879951477
2024-06-12,SELL,8.1,0.8402974009513855,0.8567883372306824
2025-01-10,SELL,4.94,0.8186909556388855,0.5000081062316895
2024-10-30,SELL,6.79,0.9260105490684508,0.7376754879951477
2024-07-23,SELL,2.29,0.5341038107872009,0.75569087266922
2024-10-07,SELL,8.23,0.8796435594558716,0.5824687480926514
2024-03-08,SELL,9.27,0.5244380235671997,0.565018355846405
2024-06-21,SELL,3.71,0.8621193766593933,0.7901261448860168
2024-12-13,SELL,2.61,0.740469217300415,0.565018355846405
2024-06-29,SELL,2.44,0.6706845164299011,0.565018355846405
2024-05-27,SELL,3.71,0.8307200074195862,0.7376754879951477
2024-06-26,SELL,4.01,0.825331449508667,0.565018355846405
2024-02-03,SELL,3.49,0.8299795389175415,0.8567883372306824
2024-07-25,SELL,1.49,0.9062047004699708,0.5000081062316895
2024-08-25,SELL,7.43,0.5652441382408142,0.8395679593086243
2024-02-07,SELL,3.8,0.6426907181739807,0.7901261448860168
2024-11-10,SELL,2.39,0.908456563949585,0.8424614071846008
2024-03-25,SELL,4.45,0.779246985912323,0.565018355846405
2024-05-31,SELL,7.1,0.51031893491745,0.8395679593086243
2024-01-26,SELL,7.25,0.8662337064743042,0.7376754879951477
2024-09-26,SELL,8.14,0.7408039569854736,0.8424614071846008
2024-09-12,SELL,1.35,0.8137013912200928,0.8567883372306824
2024-07-07,SELL,7.58,0.9850605130195618,0.75569087266922
2024-12-14,SELL,4.25,0.7697149515151978,0.5824687480926514
2024-04-27,SELL,7.6,0.5022594928741455,0.8424614071846008
2024-01-26,BUY,0.17,,
2024-04-24,SELL,7.38,0.7765336036682129,0.8424614071846008
2024-03-14,SELL,7.88,0.6542615294456482,0.75569087266922
2024-07-09,SELL,2.27,0.5535941123962402,0.75569087266922
2024-08-30,SELL,1.89,0.779949426651001,0.8395679593086243
2024-07-22,SELL,7.51,0.893796980381012,0.565018355846405
2024-07-15,SELL,6.9,0.5674311518669128,0.5472204089164734
2024-08-14,SELL,9.6,0.9306681156158448,0.8424614071846008
2024-11-12,SELL,4.99,0.7951890230178833,0.565018355846405
2024-07-07,SELL,2.08,0.8460862040519714,0.8424614071846008
2024-09-11,SELL,5.57,0.7559455037117004,0.75569087266922
2024-09-05,SELL,2.8,0.7118102312088013,0.75569087266922
2024-11-26,SELL,4.05,0.8834510445594788,0.7376754879951477
2024-09-16,SELL,1.97,0.6680245399475098,0.565018355846405
2024-10-30,SELL,8.15,0.8381185531616211,0.8395679593086243
2024-07-18,SELL,5.25,0.8484991788864136,0.5000081062316895
2024-08-26,SELL,1.82,0.8136932849884033,0.7901261448860168
2024-03-12,SELL,4.56,0.7803760766983032,0.5824687480926514
2024-06-14,SELL,9.3,0.980793833732605,0.8424614071846008
2024-03-18,SELL,4.66,0.768475353717804,0.8567883372306824
2024-09-08,SELL,4.61,0.9271942377090454,0.8424614071846008
2024-04-30,SELL,4.88,0.8056015968322754,0.8567883372306824
2024-10-10,SELL,5.91,0.7694554328918457,0.565018355846405
2025-01-10,SELL,5.14,0.8751238584518433,0.5000081062316895
2024-08-08,BUY,0.31,,
2024-02-26,SELL,2.71,0.5305584669113159,0.75569087266922
2024-06-27,SELL,5.96,0.8293716311454773,0.7901261448860168
2024-03-12,SELL,9.04,0.7992255091667175,0.565018355846405
2025-01-08,SELL,8.2,0.715118944644928,0.8567883372306824
2024-05-09,BUY,0.35,,
2024-12-31,SELL,4.54,0.8679196238517761,0.7376754879951477
2024-02-13,SELL,2.87,0.6429523229598999,0.75569087266922
2024-12-14,SELL,8.45,0.9043124914169312,0.8567883372306824
2024-09-13,SELL,2.12,0.6246355175971985,0.75569087266922
2024-04-30,SELL,0.98,0.4982591271400451,0.565018355846405
2024-11-18,SELL,7.7,0.8747069239616394,0.5000081062316895
2024-02-02,SELL,3.93,0.9139224290847778,0.7376754879951477
2024-07-28,SELL,6.58,0.800404965877533,0.8567883372306824
2024-10-17,SELL,4.75,0.8322536945343018,0.8567883372306824
2024-07-16,SELL,7.38,0.765735387802124,0.8567883372306824
2024-07-29,SELL,5.41,0.7884534597396851,0.5000081062316895
2024-11-12,SELL,3.08,0.7721404433250427,0.8395679593086243
2024-12-31,SELL,9.84,0.5082167983055115,0.8395679593086243
2024-05-25,SELL,5.34,0.8180369138717651,0.5824687480926514
2024-07-25,SELL,2.26,0.8000276684761047,0.5824687480926514
2024-07-26,SELL,9.28,0.9296063780784608,0.8395679593086243
2024-07-21,SELL,1.31,0.8756676316261292,0.5000081062316895
2024-06-06,SELL,5.18,0.9846599698066713,0.75569087266922
2024-11-18,SELL,8.5,0.8117613792419434,0.7376754879951477
2024-03-02,SELL,6.92,0.8618505001068115,0.565018355846405
2025-01-12,SELL,8.98,0.9949402809143066,0.8424614071846008
2024-08-26,BUY,0.16,,
2024-03-17,SELL,6.24,0.8569348454475403,0.565018355846405
2024-03-10,SELL,9.87,0.783126175403595,0.7901261448860168
2024-09-14,SELL,1.26,0.7943592071533203,0.5824687480926514
2024-11-19,SELL,6.63,0.8158129453659058,0.5824687480926514
2024-08-12,SELL,1.07,0.730117678642273,0.8567883372306824
2024-09-07,SELL,9.45,0.8563091158866882,0.7376754879951477
2024-07-26,SELL,4.72,0.7190102934837341,0.5472204089164734
2024-06-06,SELL,9.15,0.7264966368675232,0.7901261448860168
2024-04-05,SELL,4.31,0.748367190361023,0.565018355846405
